order,timeline_start,timeline_end,source_start,source_end,kind,story_beat,audio_level,narration,purpose,clip
1,0.0,14.042,5528.0,5542.0,hook,cold_open,0.16,"죽음을 앞둔 퇴마사는, 세상의 규칙이 깨졌음을 먼저 알아챘다.",정체불명의 강대한 존재가 개입하기 직전의 위기로 시작,clips\clip_001_hook.mp4
2,14.042,22.05,12.596,20.604,narration,setup,0.18,전쟁이 끝난 뒤 사라졌던 숙명의 창이 멕시코에서 모습을 드러냅니다.,전쟁이 끝난 뒤 사라졌던 숙명의 창이 멕시코에서 모습을 드러냅니다.,clips\clip_002_narration.mp4
3,22.05,33.591,45.047,56.546,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_003_movie_dialogue.mp4
4,33.591,42.841,84.042,93.282,narration,setup,0.18,"평범한 청소부가 손에 넣는 순간, 그의 몸은 인간의 한계를 벗어나죠.","평범한 청소부가 손에 넣는 순간, 그의 몸은 인간의 한계를 벗어나죠.",clips\clip_004_narration.mp4
5,42.841,55.716,120.039,132.873,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_005_movie_dialogue.mp4
6,55.716,64.175,156.411,164.83,narration,setup,0.18,이 물건이 향하는 곳은 천사의 도시라 불리는 로스앤젤레스입니다.,이 물건이 향하는 곳은 천사의 도시라 불리는 로스앤젤레스입니다.,clips\clip_006_narration.mp4
7,64.175,72.258,192.579,200.626,narration,setup,0.18,한편 퇴마사 존 콘스탄틴은 평소와 다른 빙의 사건을 맡습니다.,한편 퇴마사 존 콘스탄틴은 평소와 다른 빙의 사건을 맡습니다.,clips\clip_007_narration.mp4
8,72.258,83.883,234.528,246.082,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_008_movie_dialogue.mp4
9,83.883,93.216,264.022,273.307,narration,setup,0.18,소녀 안의 존재는 버티는 게 아니라 밖으로 나오려 하고 있었죠.,소녀 안의 존재는 버티는 게 아니라 밖으로 나오려 하고 있었죠.,clips\clip_009_narration.mp4
10,93.216,106.175,298.397,311.292,narration,setup,0.18,악마는 직접 이승에 들어올 수 없다는 규칙부터 흔들리기 시작합니다.,악마는 직접 이승에 들어올 수 없다는 규칙부터 흔들리기 시작합니다.,clips\clip_010_narration.mp4
11,106.175,114.675,342.72,351.179,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_011_movie_dialogue.mp4
12,114.675,125.508,371.326,382.158,narration,setup,0.18,콘스탄틴은 악마를 거울에 가두는 위험한 방법을 택합니다.,콘스탄틴은 악마를 거울에 가두는 위험한 방법을 택합니다.,clips\clip_012_narration.mp4
13,125.508,135.466,407.743,417.647,narration,setup,0.18,"퇴마는 성공하지만, 그가 본 징후는 단순한 빙의가 아니었습니다.","퇴마는 성공하지만, 그가 본 징후는 단순한 빙의가 아니었습니다.",clips\clip_013_narration.mp4
14,135.466,143.55,448.033,456.08,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_014_movie_dialogue.mp4
15,143.55,155.175,479.001,490.555,narration,setup,0.18,그에게 운전기사 채즈는 제자가 되고 싶지만 아직 차 밖에도 못 나옵니다.,그에게 운전기사 채즈는 제자가 되고 싶지만 아직 차 밖에도 못 나옵니다.,clips\clip_015_narration.mp4
16,155.175,164.508,516.022,525.307,narration,setup,0.18,"농담처럼 끝난 현장 뒤로, 더 큰 침입이 이미 시작되고 있었죠.","농담처럼 끝난 현장 뒤로, 더 큰 침입이 이미 시작되고 있었죠.",clips\clip_016_narration.mp4
17,164.508,177.466,563.105,576.0,movie_dialogue,setup,0.94,,핵심 대사와 반응으로 직전 설명을 확인,clips\clip_017_movie_dialogue.mp4
18,177.466,185.966,588.393,596.852,narration,setup,0.18,그리고 콘스탄틴에게도 이 사건을 서둘러야 할 개인적인 이유가 생깁니다.,그리고 콘스탄틴에게도 이 사건을 서둘러야 할 개인적인 이유가 생깁니다.,clips\clip_018_narration.mp4
