order,timeline_start,timeline_end,source_start,source_end,kind,story_beat,audio_level,narration,purpose,clip
1,0.0,14.033,101.791,115.791,hook_teaser,cold_open,0.16,모두를 살릴 유일한 남자. 그런데 왜 감염자들은 그를 공격하지 않았을까요?,감염자들이 백신을 자처한 남자를 공격하지 않는 이유를 질문해 핵심 미스터리를 연다.,clips_v4_curiosity_hook\clip_001_hook_teaser.mp4
2,14.033,36.066,150,172,narration,setup,0.18,이곳에 모인 사람들은 곧 끔찍한 실험에 갇힙니다.,참사가 시작될 공간과 그 안에 모인 사람들을 빠르게 소개한다.,clips_v4_curiosity_hook\clip_002_narration.mp4
3,36.066,58.099,230,252,narration,setup,0.18,그리고 이 기술은 인간까지 하나로 연결할 수 있었죠.,체인스 바이오의 연구가 이후 감염 사태와 연결될 기반을 놓는다.,clips_v4_curiosity_hook\clip_003_narration.mp4
4,58.099,80.132,268,290,movie_dialogue,setup,0.94,,영화 전체의 감염 원리를 예고하는 집단 지성 개념을 원음으로 각인한다.,clips_v4_curiosity_hook\clip_004_movie_dialogue.mp4
5,80.132,102.165,350,372,narration,setup,0.17,평범했던 인연은 곧 살아남아야 할 이유가 됩니다.,"규성과 세정, 나윤과 현석의 관계를 후일의 희생과 선택에 연결한다.",clips_v4_curiosity_hook\clip_005_narration.mp4
6,102.165,124.232,490,512,narration,inciting_incident,0.19,하지만 테러는 이미 시작된 뒤였습니다.,대테러 팀의 경고를 통해 발표회 이면의 위협을 드러낸다.,clips_v4_curiosity_hook\clip_006_narration.mp4
7,124.232,146.265,600,622,narration,inciting_incident,0.18,그의 복수는 모두의 개별성을 지우려는 실험이었죠.,서영철과 강우철의 개인적 원한을 테러의 기원으로 연결한다.,clips_v4_curiosity_hook\clip_007_narration.mp4
8,146.265,168.298,642,664,movie_dialogue,inciting_incident,0.96,,서영철이 대량 감염을 진화이자 신인류의 탄생으로 믿는다는 사실을 밝힌다.,clips_v4_curiosity_hook\clip_008_movie_dialogue.mp4
9,168.298,190.365,790,812,narration,inciting_incident,0.2,"잠시 뒤, 신인류라는 말이 현실이 됩니다.",서영철의 선언이 실제 이상 증세와 봉쇄 요청으로 전환되는 순간을 압축한다.,clips_v4_curiosity_hook\clip_009_narration.mp4
10,190.365,212.398,850,872,montage,rising_action,0.19,사람들은 출구가 아닌 감염 구역으로 몰려듭니다.,대피 방송과 혼란을 묶어 빌딩 전체가 위험 구역으로 변했음을 보여 준다.,clips_v4_curiosity_hook\clip_010_montage.mp4
11,212.398,234.431,980,1002,narration,rising_action,0.17,"혼자가 되는 순간, 표적이 됩니다.",주요 생존자들이 한데 모이는 과정을 협력의 시작으로 정리한다.,clips_v4_curiosity_hook\clip_011_narration.mp4
12,234.431,256.464,1100,1122,montage,rising_action,0.21,그리고 놈들은 고통도 두려움도 느끼지 않았죠.,감염자들의 공격성을 체감시키고 생존자들의 이동 선택을 재촉한다.,clips_v4_curiosity_hook\clip_012_montage.mp4
13,256.464,278.497,1187,1209,movie_dialogue,rising_action,0.94,,무질서한 공격이 예고된 생물학적 테러의 결과임을 생존자들에게 확정한다.,clips_v4_curiosity_hook\clip_013_movie_dialogue.mp4
14,278.497,300.564,1280,1302,narration,rising_action,0.18,그때 규성은 학생들을 구할 유인책을 자처합니다.,위험에 남겨진 학생들을 구할지를 첫 공동체적 선택으로 제시한다.,clips_v4_curiosity_hook\clip_014_narration.mp4
15,300.564,322.63,1410,1432,montage,rising_action,0.2,단 한 명만 늦어도 모두가 죽는 작전.,감염자를 분산시키는 구조 작전과 즉흥적인 협력을 속도감 있게 전달한다.,clips_v4_curiosity_hook\clip_015_montage.mp4
16,322.63,344.663,1570,1592,narration,rising_action,0.16,결국 규성은 돌아오지 못합니다.,규성의 희생을 세정의 감정선과 생존자들의 죄책감에 연결한다.,clips_v4_curiosity_hook\clip_016_narration.mp4
17,344.663,366.696,1760,1782,narration,rising_action,0.18,"설상가상, 정부는 건물 전체를 봉쇄합니다.",외부 구조가 차단되면서 생존자들이 스스로 탈출 조건을 만들어야 함을 강조한다.,clips_v4_curiosity_hook\clip_017_narration.mp4
18,366.696,388.73,1850,1872,narration,rising_action,0.19,유일한 희망은 테러범 서영철의 몸속에 있었습니다.,막연한 탈출을 서영철 확보라는 구체적인 목표로 전환할 준비를 한다.,clips_v4_curiosity_hook\clip_018_narration.mp4
19,388.73,410.796,1909,1931,movie_dialogue,rising_action,0.95,,서영철을 찾아 밖으로 데려가면 모두 구조될 수 있다는 새 목표를 원음으로 제시한다.,clips_v4_curiosity_hook\clip_019_movie_dialogue.mp4
20,410.796,432.862,1996,2018,movie_dialogue,rising_action,0.93,,집단 지성의 정보망에 거짓 정보를 넣는 생존자들의 첫 능동적 작전을 설명한다.,clips_v4_curiosity_hook\clip_020_movie_dialogue.mp4
21,432.862,454.896,2180,2202,narration,rising_action,0.17,세정은 놈들의 집단 지성을 역이용합니다.,감염자들의 정보 교환 방식을 냄새를 이용한 유인책과 연결한다.,clips_v4_curiosity_hook\clip_021_narration.mp4
22,454.896,476.929,2400,2422,montage,rising_action,0.2,속임수가 통하는 동안 층을 가로질러야 합니다.,가설을 실제 이동 작전으로 시험하는 과정의 불확실성과 긴장을 축적한다.,clips_v4_curiosity_hook\clip_022_montage.mp4
23,476.929,498.995,2660,2682,narration,rising_action,0.18,마침내 찾은 서영철. 하지만 그는 구조를 원하지 않았죠.,서영철이 있는 3층 도착을 작전의 성과이자 다음 위험의 문턱으로 만든다.,clips_v4_curiosity_hook\clip_023_narration.mp4
24,498.995,521.061,2710,2732,narration,reversal,0.19,이제 그를 옥상까지 직접 데려가야 합니다.,서영철 확보 뒤에도 옥상까지 직접 호송해야 한다는 추가 조건을 제시한다.,clips_v4_curiosity_hook\clip_024_narration.mp4
